A_sec,A_trab,fc,L1,L2,Pisos,Cm,Cv,vigas_sec_bf,vigas_sec_tf,vigas_sec_h,vigas_sec_tw,vigas_trab_bf,vigas_trab_tf,vigas_trab_h,vigas_trab_tw,col_b,col_h,col_e,ep4e_tp,ep4e_bp,ep4e_g,ep4e_pf,ep4e_perno,Resultados_Mpr_iz,Resultados_Mpr_der,Resultados_Sh_iz,Resultados_Sh_der,Resultados_Vu_iz,Resultados_Vu_der,Resultados_Mf_iz,Resultados_Mf_der,Resultados_Esfv_iz,Resultados_Esfv_der,Resultados_Efst_iz,Resultados_Efst_der,Resultados_Estreal_iz,Resultados_Estreal_der,Resultados_tp_min_iz,Resultados_tp_min_der,Refuerzo Adicional_Zp_iz,Refuerzo Adicional_Zp_der,Refuerzo Adicional_g_iz,Refuerzo Adicional_g_der
36,50,210,7.677060504124396,7.970125031437606,4,0.5753207557563123,0.23001804580144086,11.31923794045672,0.8088628126788218,39.71174642548186,0.662998014980412,12.720761651355623,0.8679444144075762,34.67237205359578,0.4347906103310254,32.41075318349687,36.711563877803336,0.5993526626616856,3.3697641517880372,29.191994044883387,16.0623116847153,4.24269335598856,0.926307893951567,22.78,22.78,17.336,17.336,16.215,16.215,25.591,25.591,6.614,6.614,113.0,113.0,61.918,61.918,1.59,1.59,34.672,34.672,27.302,27.302
36,36,210,5.025477837743217,6.116301593687534,3,0.40916215652374116,0.2555622961263707,11.444526741991973,0.873149367562825,39.11990497113977,0.5615495196061482,14.388746583242256,1.383520643188584,59.41721068550903,0.6635524308694457,30.33258224259513,39.81088437596085,0.7853428599234948,2.212955263845191,29.13788588668488,15.237197419857154,4.795390669287503,0.824096647361477,66.605,66.605,29.709,29.709,44.181,44.181,79.731,79.731,22.769,22.769,103.739,103.739,141.972,141.972,2.192,2.192,43.166,43.166,58.053,58.053
36,50,280,5.895094350046751,6.920587064116331,3,0.3280086458469881,0.16561056952236966,15.29330761793909,1.0660688289919054,23.322829362129468,0.6592501362540724,13.016337304284221,0.9689831982055308,53.81638661655661,0.9836696732909437,33.446553733676694,29.330448103852188,0.6467235264242979,2.0449096748406212,19.54724526803173,11.950490909582776,5.936241458605341,0.9650101055662375,61.612,61.612,26.908,26.908,35.35,35.35,71.124,71.124,13.286,13.286,113.0,113.0,101.425,101.425,2.592,2.592,39.049,39.049,57.192,57.192
36,50,210,7.574757939862376,6.48336704166963,3,0.36074534968595406,0.28831685188874645,15.621686082020119,1.0319639606245143,36.23103463154429,0.7928107975072664,12.832874282227158,1.471725029364207,42.28240726787871,0.8576505285512352,34.63208463142216,35.31758502019881,0.5704276076500779,2.636934300413021,27.4243416329884,15.513185600330724,4.569692006065384,1.2258372093985546,51.139,51.139,21.141,21.141,24.906,24.906,56.404,56.404,5.801,5.801,113.0,113.0,64.548,64.548,2.244,2.244,38.499,38.499,53.634,53.634
50,50,210,5.203118276334733,7.2933767350644345,2,0.5920971915992634,0.3392276168187204,16.684102368870494,1.0671955956484465,32.131699534815695,0.6586008711932863,17.53321693506842,0.9878228331742628,56.63635872000395,0.9012910854324098,28.524796939759486,33.41412126026272,0.5888665600218341,1.876256823823035,21.366856722461094,12.3930877499607,4.050322141983967,0.864592387144471,75.927,75.927,28.318,28.318,43.296,43.296,88.188,88.188,20.272,20.272,108.484,108.484,148.78,148.78,2.471,2.471,52.6,52.6,62.928,62.928
36,50,210,7.546285101475328,4.654746768683417,4,0.40852505943025924,0.31396479696000146,13.487286227928124,0.982626358339653,33.27772614519034,0.401119104006863,15.484486887521813,1.1926950729141605,30.154514542846858,0.5072021499509853,27.92805691118653,30.58090471332024,0.5900346182444343,3.48525066889703,25.215272738718703,10.658880563639034,3.240541058644927,1.1365359115791893,29.343,29.343,15.077,15.077,16.665,16.665,31.856,31.856,4.515,4.515,113.0,113.0,59.759,59.759,1.796,1.796,30.155,30.155,38.266,38.266
36,50,280,7.499432079663568,5.745342091663371,2,0.4278951667942973,0.2672392550697162,13.918050909001419,0.7970028940856144,21.870615471106525,0.6526920999999728,18.392597324601862,1.4443976102656229,48.239047086296395,0.7248514357738718,39.73031728609726,26.637196000284916,0.664871963613693,2.698389397981174,23.985456551609882,12.64885401093457,5.74731770705784,0.7975384835835904,74.944,74.944,24.12,24.12,35.851,35.851,83.591,83.591,19.727,19.727,109.519,109.519,197.095,197.095,2.798,2.798,48.239,48.239,64.503,64.503
36,50,210,6.535148729927183,6.158762168746298,2,0.49784667248664516,0.25238106603757204,11.958040386665843,0.8689617884525327,35.63184398468229,0.5010228342832497,13.050207921400267,0.864943498438034,45.64203892852496,0.6306415014594275,36.8095454451891,28.20721891132514,0.6577002424829456,2.706776339933851,25.41785249246888,11.027843820400374,5.433945481436563,1.0708058806625198,37.543,37.543,22.821,22.821,25.253,25.253,43.306,43.306,7.708,7.708,113.0,113.0,59.194,59.194,1.949,1.949,39.151,39.151,37.701,37.701
36,50,210,7.675831600878083,7.628703415080875,1,0.5878157544528915,0.2041294712610797,16.359731490069244,0.839783728605091,26.128149460063952,0.45858292863527617,13.825653218026034,1.1641113807329444,34.78406469061055,0.5116125720382595,27.529089251222622,39.93900082930022,0.4237254430392365,2.3301942777946936,22.05781068255959,11.677660767169035,5.949805565167181,0.9561660381123019,31.346,31.346,17.392,17.392,14.721,14.721,33.906,33.906,5.636,5.636,113.0,113.0,77.415,77.415,2.199,2.199,34.784,34.784,36.596,36.596
50,50,210,4.96902379866815,5.623633581457838,3,0.37325875449368406,0.2407399656530206,11.129981942561916,0.8531560996898366,30.34621018337554,0.5312303095533734,12.356258758918058,0.8737642112319871,52.91577334392685,0.8677203330711475,25.426619408015398,39.54585745316798,0.3352447092010089,2.369610798767524,28.21974340353883,17.584915059627562,5.827133446290487,1.0443381327341639,52.403,52.403,26.458,26.458,29.302,29.302,60.155,60.155,9.403,9.403,113.0,113.0,74.379,74.379,2.202,2.202,37.069,37.069,49.494,49.494
